disputer, disputant, disputé, je dispute,tu disputes,il dispute,nous disputons,vous disputez,ils disputent, j'ai disputé,tu as disputé,il a disputé,nous avons disputé,vous avez disputé,ils ont disputé, je disputais,tu disputais,il disputait,nous disputions,vous disputiez,ils disputaient, je disputai,tu disputas,il disputa,nous disputâmes,vous disputâtes,ils disputèrent, je disputerai,tu disputeras,il disputera,nous disputerons,vous disputerez,ils disputeront, je disputerais,tu disputerais,il disputerait,nous disputerions,vous disputeriez,ils disputeraient, que je dispute,que tu disputes,qu'il dispute,que nous disputions,que vous disputiez,qu'ils disputent, que je disputasse,que tu disputasses,qu'il disputât,que nous disputassions,que vous disputassiez,qu'ils disputassent, (tu) dispute,(nous) disputons,(vous) disputez
pleurer, pleurant, pleuré, je pleure,tu pleures,il pleure,nous pleurons,vous pleurez,ils pleurent, j'ai pleuré,tu as pleuré,il a pleuré,nous avons pleuré,vous avez pleuré,ils ont pleuré, je pleurais,tu pleurais,il pleurait,nous pleurions,vous pleuriez,ils pleuraient, je pleurai,tu pleuras,il pleura,nous pleurâmes,vous pleurâtes,ils pleurèrent, je pleurerai,tu pleureras,il pleurera,nous pleurerons,vous pleurerez,ils pleureront, je pleurerais,tu pleurerais,il pleurerait,nous pleurerions,vous pleureriez,ils pleureraient, que je pleure,que tu pleures,qu'il pleure,que nous pleurions,que vous pleuriez,qu'ils pleurent, que je pleurasse,que tu pleurasses,qu'il pleurât,que nous pleurassions,que vous pleurassiez,qu'ils pleurassent, (tu) pleure,(nous) pleurons,(vous) pleurez
danser, dansant, dansé, je danse,tu danses,il danse,nous dansons,vous dansez,ils dansent, j'ai dansé,tu as dansé,il a dansé,nous avons dansé,vous avez dansé,ils ont dansé, je dansais,tu dansais,il dansait,nous dansions,vous dansiez,ils dansaient, je dansai,tu dansas,il dansa,nous dansâmes,vous dansâtes,ils dansèrent, je danserai,tu danseras,il dansera,nous danserons,vous danserez,ils danseront, je danserais,tu danserais,il danserait,nous danserions,vous danseriez,ils danseraient, que je danse,que tu danses,qu'il danse,que nous dansions,que vous dansiez,qu'ils dansent, que je dansasse,que tu dansasses,qu'il dansât,que nous dansassions,que vous dansassiez,qu'ils dansassent, (tu) danse,(nous) dansons,(vous) dansez
décider, décidant, décidé, je décide,tu décides,il décide,nous décidons,vous décidez,ils décident, j'ai décidé,tu as décidé,il a décidé,nous avons décidé,vous avez décidé,ils ont décidé, je décidais,tu décidais,il décidait,nous décidions,vous décidiez,ils décidaient, je décidai,tu décidas,il décida,nous décidâmes,vous décidâtes,ils décidèrent, je déciderai,tu décideras,il décidera,nous déciderons,vous déciderez,ils décideront, je déciderais,tu déciderais,il déciderait,nous déciderions,vous décideriez,ils décideraient, que je décide,que tu décides,qu'il décide,que nous décidions,que vous décidiez,qu'ils décident, que je décidasse,que tu décidasses,qu'il décidât,que nous décidassions,que vous décidassiez,qu'ils décidassent, (tu) décide,(nous) décidons,(vous) décidez
creuser, creusant, creusé, je creuse,tu creuses,il creuse,nous creusons,vous creusez,ils creusent, j'ai creusé,tu as creusé,il a creusé,nous avons creusé,vous avez creusé,ils ont creusé, je creusais,tu creusais,il creusait,nous creusions,vous creusiez,ils creusaient, je creusai,tu creusas,il creusa,nous creusâmes,vous creusâtes,ils creusèrent, je creuserai,tu creuseras,il creusera,nous creuserons,vous creuserez,ils creuseront, je creuserais,tu creuserais,il creuserait,nous creuserions,vous creuseriez,ils creuseraient, que je creuse,que tu creuses,qu'il creuse,que nous creusions,que vous creusiez,qu'ils creusent, que je creusasse,que tu creusasses,qu'il creusât,que nous creusassions,que vous creusassiez,qu'ils creusassent, (tu) creuse,(nous) creusons,(vous) creusez
déranger, dérangeant, dérangé, je dérange,tu déranges,il dérange,nous dérangeons,vous dérangez,ils dérangent, j'ai dérangé,tu as dérangé,il a dérangé,nous avons dérangé,vous avez dérangé,ils ont dérangé, je dérangeais,tu dérangeais,il dérangeait,nous dérangions,vous dérangiez,ils dérangeaient, je dérangeai,tu dérangeas,il dérangea,nous dérangeâmes,vous dérangeâtes,ils dérangèrent, je dérangerai,tu dérangeras,il dérangera,nous dérangerons,vous dérangerez,ils dérangeront, je dérangerais,tu dérangerais,il dérangerait,nous dérangerions,vous dérangeriez,ils dérangeraient, que je dérange,que tu déranges,qu'il dérange,que nous dérangions,que vous dérangiez,qu'ils dérangent, que je dérangeasse,que tu dérangeasses,qu'il dérangeât,que nous dérangeassions,que vous dérangeassiez,qu'ils dérangeassent, (tu) dérange,(nous) dérangeons,(vous) dérangez
faire, faisant, fait, je fais,tu fais,il fait,nous faisons,vous faites,ils font, j'ai fait,tu as fait,il a fait,nous avons fait,vous avez fait,ils ont fait, je faisais,tu faisais,il faisait,nous faisions,vous faisiez,ils faisaient, je fis,tu fis,il fit,nous fîmes,vous fîtes,ils firent, je ferai,tu feras,il fera,nous ferons,vous ferez,ils feront, je ferais,tu ferais,il ferait,nous ferions,vous feriez,ils feraient, que je fasse,que tu fasses,qu'il fasse,que nous fassions,que vous fassiez,qu'ils fassent, que je fisse,que tu fisses,qu'il fît,que nous fissions,que vous fissiez,qu'ils fissent, (tu) fais,(nous) faisons,(vous) faites
dessiner, dessinant, dessiné, je dessine,tu dessines,il dessine,nous dessinons,vous dessinez,ils dessinent, j'ai dessiné,tu as dessiné,il a dessiné,nous avons dessiné,vous avez dessiné,ils ont dessiné, je dessinais,tu dessinais,il dessinait,nous dessinions,vous dessiniez,ils dessinaient, je dessinai,tu dessinas,il dessina,nous dessinâmes,vous dessinâtes,ils dessinèrent, je dessinerai,tu dessineras,il dessinera,nous dessinerons,vous dessinerez,ils dessineront, je dessinerais,tu dessinerais,il dessinerait,nous dessinerions,vous dessineriez,ils dessineraient, que je dessine,que tu dessines,qu'il dessine,que nous dessinions,que vous dessiniez,qu'ils dessinent, que je dessinasse,que tu dessinasses,qu'il dessinât,que nous dessinassions,que vous dessinassiez,qu'ils dessinassent, (tu) dessine,(nous) dessinons,(vous) dessinez
rêver, rêvant, rêvé, je rêve,tu rêves,il rêve,nous rêvons,vous rêvez,ils rêvent, j'ai rêvé,tu as rêvé,il a rêvé,nous avons rêvé,vous avez rêvé,ils ont rêvé, je rêvais,tu rêvais,il rêvait,nous rêvions,vous rêviez,ils rêvaient, je rêvai,tu rêvas,il rêva,nous rêvâmes,vous rêvâtes,ils rêvèrent, je rêverai,tu rêveras,il rêvera,nous rêverons,vous rêverez,ils rêveront, je rêverais,tu rêverais,il rêverait,nous rêverions,vous rêveriez,ils rêveraient, que je rêve,que tu rêves,qu'il rêve,que nous rêvions,que vous rêviez,qu'ils rêvent, que je rêvasse,que tu rêvasses,qu'il rêvât,que nous rêvassions,que vous rêvassiez,qu'ils rêvassent, (tu) rêve,(nous) rêvons,(vous) rêvez
boire, buvant, bu, je bois,tu bois,il boit,nous buvons,vous buvez,ils boivent, j'ai bu,tu as bu,il a bu,nous avons bu,vous avez bu,ils ont bu, je buvais,tu buvais,il buvait,nous buvions,vous buviez,ils buvaient, je bus,tu bus,il but,nous bûmes,vous bûtes,ils burent, je boirai,tu boiras,il boira,nous boirons,vous boirez,ils boiront, je boirais,tu boirais,il boirait,nous boirions,vous boiriez,ils boiraient, que je boive,que tu boives,qu'il boive,que nous buvions,que vous buviez,qu'ils boivent, que je busse,que tu busses,qu'il bût,que nous bussions,que vous bussiez,qu'ils bussent, (tu) bois,(nous) buvons,(vous) buvez
manger, mangeant, mangé, je mange,tu manges,il mange,nous mangeons,vous mangez,ils mangent, j'ai mangé,tu as mangé,il a mangé,nous avons mangé,vous avez mangé,ils ont mangé, je mangeais,tu mangeais,il mangeait,nous mangions,vous mangiez,ils mangeaient, je mangeai,tu mangeas,il mangea,nous mangeâmes,vous mangeâtes,ils mangèrent, je mangerai,tu mangeras,il mangera,nous mangerons,vous mangerez,ils mangeront, je mangerais,tu mangerais,il mangerait,nous mangerions,vous mangeriez,ils mangeraient, que je mange,que tu manges,qu'il mange,que nous mangions,que vous mangiez,qu'ils mangent, que je mangeasse,que tu mangeasses,qu'il mangeât,que nous mangeassions,que vous mangeassiez,qu'ils mangeassent, (tu) mange,(nous) mangeons,(vous) mangez
évoluer, évoluant, évolué, j'évolue,tu évolues,il évolue,nous évoluons,vous évoluez,ils évoluent, j'ai évolué,tu as évolué,il a évolué,nous avons évolué,vous avez évolué,ils ont évolué, j'évoluais,tu évoluais,il évoluait,nous évoluions,vous évoluiez,ils évoluaient, j'évoluai,tu évoluas,il évolua,nous évoluâmes,vous évoluâtes,ils évoluèrent, j'évoluerai,tu évolueras,il évoluera,nous évoluerons,vous évoluerez,ils évolueront, j'évoluerais,tu évoluerais,il évoluerait,nous évoluerions,vous évolueriez,ils évolueraient, que j'évolue,que tu évolues,qu'il évolue,que nous évoluions,que vous évoluiez,qu'ils évoluent, que j'évoluasse,que tu évoluasses,qu'il évoluât,que nous évoluassions,que vous évoluassiez,qu'ils évoluassent, (tu) évolue,(nous) évoluons,(vous) évoluez
échanger, échangeant, échangé, j'échange,tu échanges,il échange,nous échangeons,vous échangez,ils échangent, j'ai échangé,tu as échangé,il a échangé,nous avons échangé,vous avez échangé,ils ont échangé, j'échangeais,tu échangeais,il échangeait,nous échangions,vous échangiez,ils échangeaient, j'échangeai,tu échangeas,il échangea,nous échangeâmes,vous échangeâtes,ils échangèrent, j'échangerai,tu échangeras,il échangera,nous échangerons,vous échangerez,ils échangeront, j'échangerais,tu échangerais,il échangerait,nous échangerions,vous échangeriez,ils échangeraient, que j'échange,que tu échanges,qu'il échange,que nous échangions,que vous échangiez,qu'ils échangent, que j'échangeasse,que tu échangeasses,qu'il échangeât,que nous échangeassions,que vous échangeassiez,qu'ils échangeassent, (tu) échange,(nous) échangeons,(vous) échangez
tomber, tombant, tombé, je tombe,tu tombes,il tombe,nous tombons,vous tombez,ils tombent, je suis tombé,tu es tombé,il est tombé,nous sommes tombés,vous êtes tombés,ils sont tombés, je tombais,tu tombais,il tombait,nous tombions,vous tombiez,ils tombaient, je tombai,tu tombas,il tomba,nous tombâmes,vous tombâtes,ils tombèrent, je tomberai,tu tomberas,il tombera,nous tomberons,vous tomberez,ils tomberont, je tomberais,tu tomberais,il tomberait,nous tomberions,vous tomberiez,ils tomberaient, que je tombe,que tu tombes,qu'il tombe,que nous tombions,que vous tombiez,qu'ils tombent, que je tombasse,que tu tombasses,qu'il tombât,que nous tombassions,que vous tombassiez,qu'ils tombassent, (tu) tombe,(nous) tombons,(vous) tombez
battre, battant, battu, je bats,tu bats,il bat,nous battons,vous battez,ils battent, j'ai battu,tu as battu,il a battu,nous avons battu,vous avez battu,ils ont battu, je battais,tu battais,il battait,nous battions,vous battiez,ils battaient, je battis,tu battis,il battit,nous battîmes,vous battîtes,ils battirent, je battrai,tu battras,il battra,nous battrons,vous battrez,ils battront, je battrais,tu battrais,il battrait,nous battrions,vous battriez,ils battraient, que je batte,que tu battes,qu'il batte,que nous battions,que vous battiez,qu'ils battent, que je battisse,que tu battisses,qu'il battît,que nous battissions,que vous battissiez,qu'ils battissent, (tu) bats,(nous) battons,(vous) battez
voler, volant, volé, je vole,tu voles,il vole,nous volons,vous volez,ils volent, j'ai volé,tu as volé,il a volé,nous avons volé,vous avez volé,ils ont volé, je volais,tu volais,il volait,nous volions,vous voliez,ils volaient, je volai,tu volas,il vola,nous volâmes,vous volâtes,ils volèrent, je volerai,tu voleras,il volera,nous volerons,vous volerez,ils voleront, je volerais,tu volerais,il volerait,nous volerions,vous voleriez,ils voleraient, que je vole,que tu voles,qu'il vole,que nous volions,que vous voliez,qu'ils volent, que je volasse,que tu volasses,qu'il volât,que nous volassions,que vous volassiez,qu'ils volassent, (tu) vole,(nous) volons,(vous) volez
effrayer, effrayant, effrayé, j'effraie,tu effraies,il effraie,nous effrayons,vous effrayez,ils effraient, j'ai effrayé,tu as effrayé,il a effrayé,nous avons effrayé,vous avez effrayé,ils ont effrayé, j'effrayais,tu effrayais,il effrayait,nous effrayions,vous effrayiez,ils effrayaient, j'effrayai,tu effrayas,il effraya,nous effrayâmes,vous effrayâtes,ils effrayèrent, j'effraierai,tu effraieras,il effraiera,nous effraierons,vous effraierez,ils effraieront, j'effraierais,tu effraierais,il effraierait,nous effraierions,vous effraieriez,ils effraieraient, que j'effraie,que tu effraies,qu'il effraie,que nous effrayions,que vous effrayiez,qu'ils effraient, que j'effrayasse,que tu effrayasses,qu'il effrayât,que nous effrayassions,que vous effrayassiez,qu'ils effrayassent, (tu) effraie,(nous) effrayons,(vous) effrayez
donner, donnant, donné, je donne,tu donnes,il donne,nous donnons,vous donnez,ils donnent, j'ai donné,tu as donné,il a donné,nous avons donné,vous avez donné,ils ont donné, je donnais,tu donnais,il donnait,nous donnions,vous donniez,ils donnaient, je donnai,tu donnas,il donna,nous donnâmes,vous donnâtes,ils donnèrent, je donnerai,tu donneras,il donnera,nous donnerons,vous donnerez,ils donneront, je donnerais,tu donnerais,il donnerait,nous donnerions,vous donneriez,ils donneraient, que je donne,que tu donnes,qu'il donne,que nous donnions,que vous donniez,qu'ils donnent, que je donnasse,que tu donnasses,qu'il donnât,que nous donnassions,que vous donnassiez,qu'ils donnassent, (tu) donne,(nous) donnons,(vous) donnez
distribuer, distribuant, distribué, je distribue,tu distribues,il distribue,nous distribuons,vous distribuez,ils distribuent, j'ai distribué,tu as distribué,il a distribué,nous avons distribué,vous avez distribué,ils ont distribué, je distribuais,tu distribuais,il distribuait,nous distribuions,vous distribuiez,ils distribuaient, je distribuai,tu distribuas,il distribua,nous distribuâmes,vous distribuâtes,ils distribuèrent, je distribuerai,tu distribueras,il distribuera,nous distribuerons,vous distribuerez,ils distribueront, je distribuerais,tu distribuerais,il distribuerait,nous distribuerions,vous distribueriez,ils distribueraient, que je distribue,que tu distribues,qu'il distribue,que nous distribuions,que vous distribuiez,qu'ils distribuent, que je distribuasse,que tu distribuasses,qu'il distribuât,que nous distribuassions,que vous distribuassiez,qu'ils distribuassent, (tu) distribue,(nous) distribuons,(vous) distribuez
offrir, offrant, offert, j'offre,tu offres,il offre,nous offrons,vous offrez,ils offrent, j'ai offert,tu as offert,il a offert,nous avons offert,vous avez offert,ils ont offert, j'offrais,tu offrais,il offrait,nous offrions,vous offriez,ils offraient, j'offris,tu offris,il offrit,nous offrîmes,vous offrîtes,ils offrirent, j'offrirai,tu offriras,il offrira,nous offrirons,vous offrirez,ils offriront, j'offrirais,tu offrirais,il offrirait,nous offririons,vous offririez,ils offriraient, que j'offre,que tu offres,qu'il offre,que nous offrions,que vous offriez,qu'ils offrent, que j'offrisse,que tu offrisses,qu'il offrît,que nous offrissions,que vous offrissiez,qu'ils offrissent, (tu) offre,(nous) offrons,(vous) offrez
détester, détestant, détesté, je déteste,tu détestes,il déteste,nous détestons,vous détestez,ils détestent, j'ai détesté,tu as détesté,il a détesté,nous avons détesté,vous avez détesté,ils ont détesté, je détestais,tu détestais,il détestait,nous détestions,vous détestiez,ils détestaient, je détestai,tu détestas,il détesta,nous détestâmes,vous détestâtes,ils détestèrent, je détesterai,tu détesteras,il détestera,nous détesterons,vous détesterez,ils détesteront, je détesterais,tu détesterais,il détesterait,nous détesterions,vous détesteriez,ils détesteraient, que je déteste,que tu détestes,qu'il déteste,que nous détestions,que vous détestiez,qu'ils détestent, que je détestasse,que tu détestasses,qu'il détestât,que nous détestassions,que vous détestassiez,qu'ils détestassent, (tu) déteste,(nous) détestons,(vous) détestez
aider, aidant, aidé, j'aide,tu aides,il aide,nous aidons,vous aidez,ils aident, j'ai aidé,tu as aidé,il a aidé,nous avons aidé,vous avez aidé,ils ont aidé, j'aidais,tu aidais,il aidait,nous aidions,vous aidiez,ils aidaient, j'aidai,tu aidas,il aida,nous aidâmes,vous aidâtes,ils aidèrent, j'aiderai,tu aideras,il aidera,nous aiderons,vous aiderez,ils aideront, j'aiderais,tu aiderais,il aiderait,nous aiderions,vous aideriez,ils aideraient, que j'aide,que tu aides,qu'il aide,que nous aidions,que vous aidiez,qu'ils aident, que j'aidasse,que tu aidasses,qu'il aidât,que nous aidassions,que vous aidassiez,qu'ils aidassent, (tu) aide,(nous) aidons,(vous) aidez
embrasser, embrassant, embrassé, j'embrasse,tu embrasses,il embrasse,nous embrassons,vous embrassez,ils embrassent, j'ai embrassé,tu as embrassé,il a embrassé,nous avons embrassé,vous avez embrassé,ils ont embrassé, j'embrassais,tu embrassais,il embrassait,nous embrassions,vous embrassiez,ils embrassaient, j'embrassai,tu embrassas,il embrassa,nous embrassâmes,vous embrassâtes,ils embrassèrent, j'embrasserai,tu embrasseras,il embrassera,nous embrasserons,vous embrasserez,ils embrasseront, j'embrasserais,tu embrasserais,il embrasserait,nous embrasserions,vous embrasseriez,ils embrasseraient, que j'embrasse,que tu embrasses,qu'il embrasse,que nous embrassions,que vous embrassiez,qu'ils embrassent, que j'embrassasse,que tu embrassasses,qu'il embrassât,que nous embrassassions,que vous embrassassiez,qu'ils embrassassent, (tu) embrasse,(nous) embrassons,(vous) embrassez
chasser, chassant, chassé, je chasse,tu chasses,il chasse,nous chassons,vous chassez,ils chassent, j'ai chassé,tu as chassé,il a chassé,nous avons chassé,vous avez chassé,ils ont chassé, je chassais,tu chassais,il chassait,nous chassions,vous chassiez,ils chassaient, je chassai,tu chassas,il chassa,nous chassâmes,vous chassâtes,ils chassèrent, je chasserai,tu chasseras,il chassera,nous chasserons,vous chasserez,ils chasseront, je chasserais,tu chasserais,il chasserait,nous chasserions,vous chasseriez,ils chasseraient, que je chasse,que tu chasses,qu'il chasse,que nous chassions,que vous chassiez,qu'ils chassent, que je chassasse,que tu chassasses,qu'il chassât,que nous chassassions,que vous chassassiez,qu'ils chassassent, (tu) chasse,(nous) chassons,(vous) chassez
augmenter, augmentant, augmenté, j'augmente,tu augmentes,il augmente,nous augmentons,vous augmentez,ils augmentent, j'ai augmenté,tu as augmenté,il a augmenté,nous avons augmenté,vous avez augmenté,ils ont augmenté, j'augmentais,tu augmentais,il augmentait,nous augmentions,vous augmentiez,ils augmentaient, j'augmentai,tu augmentas,il augmenta,nous augmentâmes,vous augmentâtes,ils augmentèrent, j'augmenterai,tu augmenteras,il augmentera,nous augmenterons,vous augmenterez,ils augmenteront, j'augmenterais,tu augmenterais,il augmenterait,nous augmenterions,vous augmenteriez,ils augmenteraient, que j'augmente,que tu augmentes,qu'il augmente,que nous augmentions,que vous augmentiez,qu'ils augmentent, que j'augmentasse,que tu augmentasses,qu'il augmentât,que nous augmentassions,que vous augmentassiez,qu'ils augmentassent, (tu) augmente,(nous) augmentons,(vous) augmentez
diminuer, diminuant, diminué, je diminue,tu diminues,il diminue,nous diminuons,vous diminuez,ils diminuent, j'ai diminué,tu as diminué,il a diminué,nous avons diminué,vous avez diminué,ils ont diminué, je diminuais,tu diminuais,il diminuait,nous diminuions,vous diminuiez,ils diminuaient, je diminuai,tu diminuas,il diminua,nous diminuâmes,vous diminuâtes,ils diminuèrent, je diminuerai,tu diminueras,il diminuera,nous diminuerons,vous diminuerez,ils diminueront, je diminuerais,tu diminuerais,il diminuerait,nous diminuerions,vous diminueriez,ils diminueraient, que je diminue,que tu diminues,qu'il diminue,que nous diminuions,que vous diminuiez,qu'ils diminuent, que je diminuasse,que tu diminuasses,qu'il diminuât,que nous diminuassions,que vous diminuassiez,qu'ils diminuassent, (tu) diminue,(nous) diminuons,(vous) diminuez
sauter, sautant, sauté, je saute,tu sautes,il saute,nous sautons,vous sautez,ils sautent, j'ai sauté,tu as sauté,il a sauté,nous avons sauté,vous avez sauté,ils ont sauté, je sautais,tu sautais,il sautait,nous sautions,vous sautiez,ils sautaient, je sautai,tu sautas,il sauta,nous sautâmes,vous sautâtes,ils sautèrent, je sauterai,tu sauteras,il sautera,nous sauterons,vous sauterez,ils sauteront, je sauterais,tu sauterais,il sauterait,nous sauterions,vous sauteriez,ils sauteraient, que je saute,que tu sautes,qu'il saute,que nous sautions,que vous sautiez,qu'ils sautent, que je sautasse,que tu sautasses,qu'il sautât,que nous sautassions,que vous sautassiez,qu'ils sautassent, (tu) saute,(nous) sautons,(vous) sautez
grandir, grandissant, grandi, je grandis,tu grandis,il grandit,nous grandissons,vous grandissez,ils grandissent, j'ai grandi,tu as grandi,il a grandi,nous avons grandi,vous avez grandi,ils ont grandi, je grandissais,tu grandissais,il grandissait,nous grandissions,vous grandissiez,ils grandissaient, je grandis,tu grandis,il grandit,nous grandîmes,vous grandîtes,ils grandirent, je grandirai,tu grandiras,il grandira,nous grandirons,vous grandirez,ils grandiront, je grandirais,tu grandirais,il grandirait,nous grandirions,vous grandiriez,ils grandiraient, que je grandisse,que tu grandisses,qu'il grandisse,que nous grandissions,que vous grandissiez,qu'ils grandissent, que je grandisse,que tu grandisses,qu'il grandît,que nous grandissions,que vous grandissiez,qu'ils grandissent, (tu) grandis,(nous) grandissons,(vous) grandissez
récolter, récoltant, récolté, je récolte,tu récoltes,il récolte,nous récoltons,vous récoltez,ils récoltent, j'ai récolté,tu as récolté,il a récolté,nous avons récolté,vous avez récolté,ils ont récolté, je récoltais,tu récoltais,il récoltait,nous récoltions,vous récoltiez,ils récoltaient, je récoltai,tu récoltas,il récolta,nous récoltâmes,vous récoltâtes,ils récoltèrent, je récolterai,tu récolteras,il récoltera,nous récolterons,vous récolterez,ils récolteront, je récolterais,tu récolterais,il récolterait,nous récolterions,vous récolteriez,ils récolteraient, que je récolte,que tu récoltes,qu'il récolte,que nous récoltions,que vous récoltiez,qu'ils récoltent, que je récoltasse,que tu récoltasses,qu'il récoltât,que nous récoltassions,que vous récoltassiez,qu'ils récoltassent, (tu) récolte,(nous) récoltons,(vous) récoltez
moissonner, moissonnant, moissonné, je moissonne,tu moissonnes,il moissonne,nous moissonnons,vous moissonnez,ils moissonnent, j'ai moissonné,tu as moissonné,il a moissonné,nous avons moissonné,vous avez moissonné,ils ont moissonné, je moissonnais,tu moissonnais,il moissonnait,nous moissonnions,vous moissonniez,ils moissonnaient, je moissonnai,tu moissonnas,il moissonna,nous moissonnâmes,vous moissonnâtes,ils moissonnèrent, je moissonnerai,tu moissonneras,il moissonnera,nous moissonnerons,vous moissonnerez,ils moissonneront, je moissonnerais,tu moissonnerais,il moissonnerait,nous moissonnerions,vous moissonneriez,ils moissonneraient, que je moissonne,que tu moissonnes,qu'il moissonne,que nous moissonnions,que vous moissonniez,qu'ils moissonnent, que je moissonnasse,que tu moissonnasses,qu'il moissonnât,que nous moissonnassions,que vous moissonnassiez,qu'ils moissonnassent, (tu) moissonne,(nous) moissonnons,(vous) moissonnez
taire, taisant, tu, je tais,tu tais,il tait,nous taisons,vous taisez,ils taisent, j'ai tu,tu as tu,il a tu,nous avons tu,vous avez tu,ils ont tu, je taisais,tu taisais,il taisait,nous taisions,vous taisiez,ils taisaient, je tus,tu tus,il tut,nous tûmes,vous tûtes,ils turent, je tairai,tu tairas,il taira,nous tairons,vous tairez,ils tairont, je tairais,tu tairais,il tairait,nous tairions,vous tairiez,ils tairaient, que je taise,que tu taises,qu'il taise,que nous taisions,que vous taisiez,qu'ils taisent, que je tusse,que tu tusses,qu'il tût,que nous tussions,que vous tussiez,qu'ils tussent, (tu) tais,(nous) taisons,(vous) taisez
frapper, frappant, frappé, je frappe,tu frappes,il frappe,nous frappons,vous frappez,ils frappent, j'ai frappé,tu as frappé,il a frappé,nous avons frappé,vous avez frappé,ils ont frappé, je frappais,tu frappais,il frappait,nous frappions,vous frappiez,ils frappaient, je frappai,tu frappas,il frappa,nous frappâmes,vous frappâtes,ils frappèrent, je frapperai,tu frapperas,il frappera,nous frapperons,vous frapperez,ils frapperont, je frapperais,tu frapperais,il frapperait,nous frapperions,vous frapperiez,ils frapperaient, que je frappe,que tu frappes,qu'il frappe,que nous frappions,que vous frappiez,qu'ils frappent, que je frappasse,que tu frappasses,qu'il frappât,que nous frappassions,que vous frappassiez,qu'ils frappassent, (tu) frappe,(nous) frappons,(vous) frappez
rire, riant, ri, je ris,tu ris,il rit,nous rions,vous riez,ils rient, j'ai ri,tu as ri,il a ri,nous avons ri,vous avez ri,ils ont ri, je riais,tu riais,il riait,nous riions,vous riiez,ils riaient, je ris,tu ris,il rit,nous rîmes,vous rîtes,ils rirent, je rirai,tu riras,il rira,nous rirons,vous rirez,ils riront, je rirais,tu rirais,il rirait,nous ririons,vous ririez,ils riraient, que je rie,que tu ries,qu'il rie,que nous riions,que vous riiez,qu'ils rient, que je risse,que tu risses,qu'il rît,que nous rissions,que vous rissiez,qu'ils rissent, (tu) ris,(nous) rions,(vous) riez
apprendre, apprenant, appris, j'apprends,tu apprends,il apprend,nous apprenons,vous apprenez,ils apprennent, j'ai appris,tu as appris,il a appris,nous avons appris,vous avez appris,ils ont appris, j'apprenais,tu apprenais,il apprenait,nous apprenions,vous appreniez,ils apprenaient, j'appris,tu appris,il apprit,nous apprîmes,vous apprîtes,ils apprirent, j'apprendrai,tu apprendras,il apprendra,nous apprendrons,vous apprendrez,ils apprendront, j'apprendrais,tu apprendrais,il apprendrait,nous apprendrions,vous apprendriez,ils apprendraient, que j'apprenne,que tu apprennes,qu'il apprenne,que nous apprenions,que vous appreniez,qu'ils apprennent, que j'apprisse,que tu apprisses,qu'il apprît,que nous apprissions,que vous apprissiez,qu'ils apprissent, (tu) apprends,(nous) apprenons,(vous) apprenez
étudier, étudiant, étudié, j'étudie,tu étudies,il étudie,nous étudions,vous étudiez,ils étudient, j'ai étudié,tu as étudié,il a étudié,nous avons étudié,vous avez étudié,ils ont étudié, j'étudiais,tu étudiais,il étudiait,nous étudiions,vous étudiiez,ils étudiaient, j'étudiai,tu étudias,il étudia,nous étudiâmes,vous étudiâtes,ils étudièrent, j'étudierai,tu étudieras,il étudiera,nous étudierons,vous étudierez,ils étudieront, j'étudierais,tu étudierais,il étudierait,nous étudierions,vous étudieriez,ils étudieraient, que j'étudie,que tu étudies,qu'il étudie,que nous étudiions,que vous étudiiez,qu'ils étudient, que j'étudiasse,que tu étudiasses,qu'il étudiât,que nous étudiassions,que vous étudiassiez,qu'ils étudiassent, (tu) étudie,(nous) étudions,(vous) étudiez
coucher, couchant, couché, je couche,tu couches,il couche,nous couchons,vous couchez,ils couchent, j'ai couché,tu as couché,il a couché,nous avons couché,vous avez couché,ils ont couché, je couchais,tu couchais,il couchait,nous couchions,vous couchiez,ils couchaient, je couchai,tu couchas,il coucha,nous couchâmes,vous couchâtes,ils couchèrent, je coucherai,tu coucheras,il couchera,nous coucherons,vous coucherez,ils coucheront, je coucherais,tu coucherais,il coucherait,nous coucherions,vous coucheriez,ils coucheraient, que je couche,que tu couches,qu'il couche,que nous couchions,que vous couchiez,qu'ils couchent, que je couchasse,que tu couchasses,qu'il couchât,que nous couchassions,que vous couchassiez,qu'ils couchassent, (tu) couche,(nous) couchons,(vous) couchez
lever, levant, levé, je lève,tu lèves,il lève,nous levons,vous levez,ils lèvent, j'ai levé,tu as levé,il a levé,nous avons levé,vous avez levé,ils ont levé, je levais,tu levais,il levait,nous levions,vous leviez,ils levaient, je levai,tu levas,il leva,nous levâmes,vous levâtes,ils levèrent, je lèverai,tu lèveras,il lèvera,nous lèverons,vous lèverez,ils lèveront, je lèverais,tu lèverais,il lèverait,nous lèverions,vous lèveriez,ils lèveraient, que je lève,que tu lèves,qu'il lève,que nous levions,que vous leviez,qu'ils lèvent, que je levasse,que tu levasses,qu'il levât,que nous levassions,que vous levassiez,qu'ils levassent, (tu) lève,(nous) levons,(vous) levez
